도시명,위도,경도
강원 속초시,38.2069574,128.5913424
강원 태백시,37.1637943,128.9857176
강원 삼척시,37.4498745,129.1652969
강원 홍천군,37.6967,127.8888
강원 횡성군,37.4916,127.985
강원 영월군,37.1834983,128.4619814
강원 평창군,37.3705,128.3903
강원 정선군,37.380456,128.6609485
강원 철원군,38.1468023,127.3133
강원 화천군,38.1063,127.708
강원 양구군,38.1096812,127.9900596
강원 인제군,38.0694,128.1706
강원 고성군,38.3808,128.4678
강원 양양군,38.0751,128.6191
충북 청주시,36.6421169,127.4891742
충북 충주시,36.9907334,127.9259891
충북 제천시,37.1326042,128.1913508
충북 보은군,36.4890118,127.729242
충북 옥천군,36.3061692,127.571482
충북 영동군,36.1747588,127.7834432
충북 진천군,36.855461,127.4353927
충북 괴산군,36.815,127.7866
충북 음성군,36.94,127.6906
충북 단양군,36.9848,128.3659
충북 증평군,36.785213,127.5818159
충남 천안시,36.8150283,127.1140654
충남 아산시,36.7899498,127.0026769
충남 보령시,36.33401,126.613165
충남 공주시,36.47257,127.09124
충남 서산시,36.784499,126.450317
충남 금산군,36.1087249,127.48815
충남 태안군,36.7454236,126.29836
충남 논산시,36.1868154,127.0987538
충남 부여군,36.2753678,126.910107
충남 서천군,36.0800688,126.6916052
충남 청양군,36.4587024,126.8019983
충남 홍성군,36.6010501,126.6611667
충남 예산군,36.6808989,126.8448742
충남 당진시,36.8904083,126.6461833
충남 계룡시,36.275523,127.2472702
전북 전주시,35.8237631,127.1472805
전북 군산시,35.9679984,126.7369036
전북 정읍시,35.5697678,126.8559787
전북 남원시,35.4163118,127.3903713
전북 김제시,35.803815,126.880557
전북 완주군,35.9039,127.1622
전북 진안군,35.7915,127.4252
전북 무주군,36.007,127.6609
전북 장수군,35.647,127.5212
전북 임실군,35.6174,127.2893
전북 순창군,35.3741,127.1374
전북 고창군,35.4355,126.7021
전북 부안군,35.7316783,126.7330195
전북 익산시,35.9479291,126.9578025
전남 목포시,34.7903335,126.3847547
전남 여수시,34.7546257,127.659859
전남 순천시,34.9505457,127.4872992
전남 나주시,35.0158859,126.7108313
전남 광양시,34.9406452,127.6959512
전남 담양군,35.320878,126.9883238
전남 곡성군,35.2818969,127.2914673
전남 구례군,35.2203329,127.473277
전남 고흥군,34.6044123,127.276384
전남 보성군,34.7711356,127.0798978
전남 화순군,35.0643095,126.9864311
전남 장흥군,34.6811762,126.906996
전남 강진군,34.641917,126.7669591
전남 해남군,34.55269,126.52431
전남 영암군,34.800052,126.6970381
전남 무안군,34.9905794,126.4812377
전남 함평군,35.0656537,126.5166414
전남 영광군,35.2769282,126.5124504
전남 장성군,35.3017065,126.7844061
전남 완도군,34.3110373,126.7553933
전남 진도군,34.4867515,126.2629264
전남 신안군,34.8331095,126.3522531
경북 포항시,36.0189315,129.3429384
경북 경주시,35.8556705,129.2248811
경북 김천시,36.1398035,128.1139534
경북 안동시,36.5634886,128.7260798
경북 구미시,36.1195513,128.3444692
경북 영주시,36.805685,128.624054
경북 영천시,35.98842,128.942
경북 문경시,36.5858541,128.1870612
경북 상주시,36.4104478,128.1590614
경북 의성군,36.3524,128.697
경북 청송군,36.4358,129.0571
경북 영양군,36.6664,129.1127
경북 영덕군,36.4149,129.3659
경북 청도군,35.6473012,128.7348468
경북 고령군,35.7258,128.2632
경북 성주군,35.9190065,128.283486
경북 칠곡군,35.995,128.4017
경북 예천군,36.6462999,128.4376
경북 봉화군,36.8925,128.7324
경북 울진군,36.993,129.4006
경북 울릉군,37.4845293,130.9058854
경북 경산시,35.825122,128.741329
경남 진주시,35.1803459,128.1079953
경남 통영시,34.854254,128.433205
경남 김해시,35.2310947,128.8908228
경남 밀양시,35.503839,128.7466992
경남 거제시,34.8804677,128.621207
경남 의령군,35.322003,128.2617827
경남 함안군,35.2726875,128.4065038
경남 창녕군,35.5443876,128.4921938
경남 양산시,35.3349979,129.0370582
경남 고성군,34.9732784,128.322233
경남 사천시,35.003468,128.064562
경남 남해군,34.8374437,127.8925589
경남 하동군,35.0670735,127.7516778
경남 산청군,35.4154624,127.873663
경남 함양군,35.5204145,127.7252966
경남 거창군,35.6872871,127.9138505
경남 합천군,35.5664445,128.1658334
제주 제주시,33.4998289,126.5313902
제주 서귀포시,33.252845,126.5610278
대구 중구,35.8760013,128.5960548
대구 동구,35.8865,128.6355
대구 서구,35.8716,128.5591
대구 남구,35.845728,128.5977207
대구 북구,35.8762821,128.5971184
대구 수성구,35.8584,128.6305
대구 달서구,35.8297006,128.533094
대구 달성군,35.7753,128.4312
대구 군위군,36.2425017,128.5732027
인천 중구,37.4765694,126.6173655
인천 동구,37.4736019,126.643227
인천 미추홀구,37.4636,126.6502
인천 부평구,37.5070221,126.7220068
인천 남동구,37.446902,126.7315126
인천 서구,37.545,126.676
인천 연수구,37.4098,126.6787
인천 계양구,37.5373539,126.7379078
인천 강화군,37.746,126.488
인천 옹진군,37.533,126.429
광주 동구,35.1659931,126.909777
광주 서구,35.1521401,126.8900561
광주 북구,35.1670444,126.9106882
광주 광산구,35.1396428,126.7938232
광주 남구,35.1327,126.9025
대전 동구,36.3322464,127.4346482
대전 중구,36.3254103,127.4211723
대전 서구,36.3551786,127.3838487
대전 유성구,36.3620732,127.3564099
대전 대덕구,36.3465766,127.4158483
울산 중구,35.5693863,129.3327997
울산 남구,35.4984869,129.3459362
울산 동구,35.5046663,129.4170114
울산 북구,35.5826,129.3604
울산 울주군,35.5513139,129.1379303
세종 세종시,36.5883603,127.2951387
